iter	TotalF1	MultiClass
159	0.5473881125	1.13446276
160	0.5483082304	1.133561083
161	0.5482845776	1.132556305
162	0.5496427336	1.130892332
163	0.5512395022	1.129993425
164	0.5518696426	1.129150175
165	0.5525843431	1.127849722
166	0.5516884878	1.126997687
167	0.5532555396	1.126180011
168	0.5542167902	1.124656099
169	0.5546287347	1.124281347
170	0.5559050059	1.123341804
171	0.5567452403	1.12246059
172	0.5561751842	1.121222512
173	0.5566110243	1.120500901
174	0.5568145357	1.119750571
175	0.5581892334	1.118492494
176	0.5584591027	1.117241561
177	0.557585924	1.116742163
178	0.5599533868	1.115172142
179	0.5608933795	1.114255088
180	0.5603002591	1.113616515
181	0.5611166426	1.112710327
182	0.5620478907	1.111596741
183	0.5622296752	1.110559011
184	0.563011866	1.109876311
185	0.5636097689	1.109141157
186	0.5641179027	1.108223286
187	0.5653744842	1.107466002
188	0.5670187831	1.105603533
189	0.5675510937	1.105012413
190	0.5682414838	1.104039113
191	0.5684216404	1.102501868
192	0.5693762732	1.102079956
193	0.5685432724	1.101428947
194	0.5703977708	1.099934756
195	0.5708900618	1.09882892
196	0.5716058755	1.097776284
197	0.5721553014	1.09716356
198	0.5730884054	1.096208331
199	0.5741777629	1.094786662
200	0.5759909575	1.093547164
201	0.5746728188	1.092645236
202	0.5750651011	1.09178435
203	0.5767245436	1.089680522
204	0.5768558162	1.089265425
205	0.5783480863	1.087995822
206	0.579147702	1.086502795
207	0.5805038735	1.085632661
208	0.5815927526	1.084563523
209	0.583517739	1.083486661
210	0.5844240957	1.08233462
211	0.5852579513	1.081300677
212	0.5861282213	1.080289403
213	0.5873031081	1.078760639
214	0.5877402505	1.078260041
215	0.588153075	1.077481375
216	0.5893416308	1.076628802
217	0.5907785495	1.075497176
218	0.591904363	1.074103804
219	0.5921314988	1.073179337
220	0.5919314993	1.072209185
221	0.592986818	1.071407154
222	0.592969966	1.070303388
223	0.5932485968	1.069286595
224	0.5942033052	1.068404597
225	0.5948131001	1.067599735
226	0.5952104695	1.066520764
227	0.5952166375	1.065788099
228	0.5967970257	1.064848036
229	0.596968631	1.063985659
230	0.5980934646	1.063510718
231	0.5992417306	1.061972186
232	0.5992536862	1.061024093
233	0.5998222947	1.060162446
234	0.6019885973	1.058618194
235	0.601927885	1.057303902
236	0.6029706643	1.056531322
237	0.6023543803	1.055879915
238	0.6027483985	1.055208952
239	0.6043373882	1.053951483
240	0.6047653354	1.053390987
241	0.6048192596	1.052313042
242	0.605630059	1.051279534
243	0.6080198414	1.049927913
244	0.6074735969	1.048967505
245	0.6080569554	1.048254078
246	0.6097438824	1.047091557
247	0.6103250384	1.045935242
248	0.6110320725	1.045329685
249	0.6131116023	1.044304986
250	0.6125700044	1.043505637
251	0.6131448059	1.042669853
252	0.6139251147	1.04137031
253	0.6158311725	1.040322198
254	0.6165004685	1.039650537
255	0.6169172758	1.03902881
256	0.6160889024	1.038108499
257	0.6171918931	1.037457269
258	0.6196315501	1.035807711
259	0.6202871162	1.034848998
260	0.6202934251	1.034355786
261	0.6200013734	1.033689266
262	0.6207313084	1.032658817
263	0.6224864091	1.031437332
264	0.6224313492	1.030563862
265	0.6219704656	1.029650843
266	0.6222911075	1.028969237
267	0.6230388266	1.028104579
268	0.6229982467	1.027627087
269	0.6242982024	1.026762683
270	0.6257846608	1.025929392
271	0.6255548306	1.024560636
272	0.6269233145	1.023530433
273	0.627343617	1.023029937
274	0.6280473354	1.022124442
275	0.6287309003	1.02156513
276	0.6297219796	1.020671187
277	0.6323362328	1.01967468
278	0.632688229	1.019109534
279	0.63234787	1.018324858
280	0.6329602591	1.017386128
281	0.6337641325	1.016397888
282	0.6355027229	1.015301801
283	0.6358786573	1.014234255
284	0.635465134	1.012883484
285	0.6359013975	1.011670076
286	0.6379069105	1.009872888
287	0.6386036156	1.009218867
288	0.6390999434	1.008399882
289	0.6385067766	1.007555332
290	0.6397844475	1.006740415
291	0.6402764775	1.00596383
292	0.6406961389	1.005455199
293	0.6423306879	1.004014656
294	0.6429727022	1.002998296
295	0.6431781538	1.00203462
296	0.6437736324	1.001511298
297	0.644914748	1.000271541
298	0.6446021765	0.9999369364
299	0.6452761312	0.9994708229
300	0.6450787549	0.9986902534
301	0.645349584	0.9980127831
302	0.6460756678	0.9975156295
303	0.6459912929	0.9962612787
304	0.6470189331	0.9951730062
305	0.6474604135	0.9945543622
306	0.6491941162	0.9933199526
307	0.6495788264	0.9924758934
308	0.6502029147	0.9916638959
309	0.6503846921	0.9908047113
310	0.6504724674	0.9896985244
311	0.6500159147	0.9892688755
312	0.6506549339	0.9886973313
313	0.6512682246	0.987823836
314	0.6517121182	0.9872025139
315	0.6523517445	0.9865781541
316	0.6525964314	0.9858104566
317	0.6541036484	0.9844056121
318	0.6552503928	0.9833138941
319	0.6549719063	0.9829906069
320	0.6563696958	0.9814539796
321	0.6556305409	0.9809278877
322	0.656838037	0.9801120166
323	0.6574243551	0.9789494847
324	0.6582649798	0.978075177
325	0.6584547796	0.9777581127
326	0.6583333775	0.9774830364
327	0.6585052377	0.9768301348
328	0.6582552601	0.9764346072
329	0.6597240371	0.9756777138
330	0.659581518	0.9747483
331	0.6607572477	0.9735739571
332	0.6613783216	0.9728649008
333	0.661646554	0.9718942808
334	0.6627255796	0.9710095541
335	0.6626965037	0.9701395314
336	0.663084456	0.9692520317
337	0.6644315646	0.9687682447
338	0.6645817656	0.9678162097
339	0.6658960817	0.9670882907
340	0.6658961009	0.966359283
341	0.665793538	0.9657116216
342	0.6658165038	0.9651317344
343	0.6673290461	0.9641931107
344	0.668036045	0.9635794046
345	0.6673604089	0.962775607
346	0.6684952757	0.9618945781
347	0.6684004866	0.9614109007
348	0.6694565682	0.9602589567
349	0.6697504324	0.9592874573
350	0.6711302381	0.9583681948
351	0.6719656165	0.956994531
352	0.6723458208	0.956009696
353	0.672025032	0.9554437353
354	0.672565992	0.954786187
355	0.673686676	0.9541496258
356	0.6728784457	0.9536418061
357	0.6739458057	0.9529022314
358	0.6739178919	0.9521889588
359	0.6741375046	0.951444504
360	0.6749129956	0.9503396868
361	0.6753760737	0.9498181185
362	0.6750838784	0.9490196141
363	0.6750720314	0.9479392461
364	0.6756390302	0.9475226455
365	0.6764333713	0.9469496649
366	0.676936093	0.9461603108
367	0.6768277502	0.945482101
368	0.6783149752	0.944423684
369	0.6796083043	0.9434839318
370	0.6791995464	0.9429260282
371	0.6804193092	0.9416696061
372	0.6800915701	0.9409396194
373	0.6812932558	0.9398802166
374	0.6825301685	0.9388884482
375	0.6833808939	0.9379036476
376	0.6835241641	0.9371397885
377	0.6847290117	0.9361358164
378	0.6853172766	0.9352621799
379	0.6854434117	0.9346462817
380	0.6864198848	0.9341422033
381	0.6866610348	0.933345059
382	0.6863623098	0.9327331903
383	0.6874132469	0.9317408159
384	0.6881692345	0.9303730898
385	0.6882118683	0.9297614188
386	0.6882937987	0.9286598523
387	0.6894330956	0.927886967
388	0.6897166258	0.9270557254
389	0.689972082	0.9263926067
390	0.6901206962	0.9258418237
391	0.6913564736	0.9250040293
392	0.6924977247	0.9241926334
393	0.6929702554	0.9232403736
394	0.6937301743	0.9222201723
395	0.6945338326	0.9216946677
396	0.6945776718	0.921138131
397	0.6954743227	0.9205103744
398	0.6963287616	0.9199114403
399	0.6963245005	0.9193760752
